epoch;acc;loss;val_acc;val_loss
0;0.5512792947753171;6.357731599910967;0.9810834049871023;0.0651051088845676
1;0.9683938937862825;0.09678281717990783;0.9939810834049871;0.014601676098130298
2;0.9858095033326166;0.04755677558342325;0.998280309544282;0.006875769490265155
3;0.9924747366157816;0.02140782422583623;1.0;0.0015643830054441008
4;0.9935497741395749;0.021431291979298852;0.9974204643164231;0.0070017592505541145
5;0.9956998494947323;0.011625859980612026;0.999140154772141;0.0016255444839845762
6;0.9948398193936788;0.014786698060159567;1.0;0.00046678195374438017
7;0.9963448720705225;0.010859284138438346;0.999140154772141;0.0022535943175536277
8;0.9984949473231564;0.0067265390315746085;0.999140154772141;0.0017276729707809012
9;0.9978499247473661;0.006987151673958314;0.999140154772141;0.0026453591081155806
